name,category,market_price,our_price,is_veg,description,image,type,varient1,v_price1,v_offer_price1,varient2,v_price2,v_offer_price2
ADRAK Tea,Chai,50,30,1,One serving of Adrak Tea,https://dine-cdn.weazy.in/products/1662970371.jpg,product,Regular,,30,Large,80,60
CHOCOLATE Tea,Chai,50,30,1,One serving of CHOCOLATE Tea,https://dine-cdn.weazy.in/products/1662971026.jpg,product,Regular,,30,Large,80,60
ROSE Tea,Chai,50,30,1,One serving of ROSE Tea,https://dine-cdn.weazy.in/products/1662970685.jpg,product,Regular,,30,Large,80,60
ELIACHI Tea,Chai,60,40,1,One serving of ELIACHI Tea,https://dine-cdn.weazy.in/products/1662970537.jpg,product,Regular,,40,Large,90,70
MASALA Tea,Chai,60,40,1,One serving of MASALA Tea,https://dine-cdn.weazy.in/products/1662796031.jpg,product,Regular,,40,Large,90,70
KESAR Tea,Chai,60,40,1,One serving of KESAR Tea,https://imagecdn.weazy.in/product-data/product_image/1666250542.jpeg,product,Regular,,40,Large,90,70
GREEN TEA,Chai,50,30,1,One serving of GREEN TEA,https://dine-cdn.weazy.in/products/1662972140.jpg,product,,,,,,
GINGER HONEY LEMON TEA,Chai,60,40,1,One serving of GINGER HONEY LEMON TEA,https://imagecdn.weazy.in/product-data/product_image/1666250647.jpg,product,,,,,,
LEMON TEA,Chai,50,30,1,One serving of LEMON TEA,https://dine-cdn.weazy.in/products/1662972196.jpg,product,,,,,,
BANANA SHAKE,Milk Shake,120,100,1,One serving of BANANA SHAKE,https://dine-cdn.weazy.in/products/1662977364.jpg,product,,,,,,
MANGO SHAKE,Milk Shake,120,100,1,One serving of MANGO SHAKE,https://imagecdn.weazy.in/product-data/product_image/mango-shake.jpg,product,,,,,,
KITKAT SHAKE,Milk Shake,120,100,1,One serving of KITKAT SHAKE,https://dine-cdn.weazy.in/products/1663330831.jpg,product,,,,,,
PAAN SHAKE,Milk Shake,120,100,1,One serving of PAAN SHAKE,https://imagecdn.weazy.in/product-data/product_image/1666250886.jpg,product,,,,,,
DAIRY MILK SHAKE,Milk Shake,120,100,1,One serving of DAIRY MILK SHAKE,https://imagecdn.weazy.in/product-data/product_image/1666250945.jpg,product,,,,,,
OREO SHAKE,Milk Shake,120,100,1,One serving of OREO SHAKE,https://dine-cdn.weazy.in/products/1662977776.jpg,product,,,,,,
BROWNIE SHAKE,Milk Shake,120,100,1,One serving of BROWNIE SHAKE,https://imagecdn.weazy.in/product-data/product_image/1666251040.jpg,product,,,,,,
STRAWBERRY SHAKE,Milk Shake,120,100,1,One serving of STRAWBERRY SHAKE,https://imagecdn.weazy.in/product-data/product_image/strawberry-shake.jpg,product,,,,,,
BUTTER SCOTCH SHAKE,Milk Shake,120,100,1,One serving of BUTTER SCOTCH SHAKE,https://dine-cdn.weazy.in/products/1663331009.jpg,product,,,,,,
VANILLA SHAKE,Milk Shake,120,100,1,One serving of VANILLA SHAKE,https://imagecdn.weazy.in/product-data/product_image/1666251242.jpg,product,,,,,,
KESAR PISTA SHAKE,Milk Shake,120,100,1,One serving of KESAR PISTA SHAKE,https://imagecdn.weazy.in/product-data/product_image/1666251354.jpeg,product,,,,,,
BOURBON SHAKE,Milk Shake,120,100,1,One serving of BOURBON SHAKE,https://imagecdn.weazy.in/product-data/product_image/1666251398.jpg,product,,,,,,
PLAIN ICE TEA,ICE TEA,100,80,1,One serving of PLAIN ICE TEA,https://imagecdn.weazy.in/product-data/product_image/1666251472.jpg,product,,,,,,
LEMON ICE TEA,ICE TEA,100,80,1,One serving of LEMON ICE TEA,https://imagecdn.weazy.in/product-data/product_image/1666251582.jpg,product,,,,,,
CLASSIC ICE TEA,ICE TEA,100,80,1,One serving of CLASSIC ICE TEA,https://imagecdn.weazy.in/product-data/product_image/1666251638.jpeg,product,,,,,,
RED WINE ICE TEA,ICE TEA,100,80,1,One serving of RED WINE ICE TEA,https://imagecdn.weazy.in/product-data/product_image/1666251726.jpg,product,,,,,,
